Date,Title,Venue
2023-11-04 (土),『ダンまち』ファン感謝イベント「聖火祭(ウェスタ・パーティ) in 竈火の館」【夜公演】,会場: NEW PIER HALL(ニューピアホール)
2023-11-04 (土),『ダンまち』ファン感謝イベント「聖火祭(ウェスタ・パーティ) in 竈火の館」【昼公演】,会場: NEW PIER HALL(ニューピアホール)
2023-10-29 (日),Inori Minase LIVE TOUR 2023 SCRAP ART 神奈川公演 2日目,会場: ぴあアリーナMM
2023-10-28 (土),Inori Minase LIVE TOUR 2023 SCRAP ART 神奈川公演 1日目,会場: ぴあアリーナMM
2023-10-14 (土),Inori Minase LIVE TOUR 2023 SCRAP ART 福岡公演,会場: 北九州ソレイユホール
2023-10-08 (日),Inori Minase LIVE TOUR 2023 SCRAP ART 愛知公演,会場: Niterra日本特殊陶業市民会館 フォレストホール
2023-09-24 (日),Inori Minase LIVE TOUR 2023 SCRAP ART 宮城公演,会場: 仙台サンプラザホール
2023-09-17 (日),Inori Minase LIVE TOUR 2023 SCRAP ART 兵庫公演,会場: 神戸ワールド記念ホール
2023-08-05 (土),山田くんとLv999のギルドミーティング ～Festival Of Summer,会場: 星陵会館
2023-04-01 (土),五等分の花嫁 SPECIAL EVENT 2023 in 横浜アリーナ,会場: 横浜アリーナ
2023-03-25 (土),TVアニメ 山田くんとLV999の恋をする 先行上映会,会場: ユナイテッド・シネマ アクアシティお台場
2023-03-25 (土),AnimeJapan2023 NBC ユニバーサル・エンターテイメント ブース『死神坊ちゃんと黒メイド』スペシャルステージ,会場: 東京ビッグサイト(東京国際展示場)
2023-03-25 (土),「AnimeJapan 2023」AJステージ『TVアニメ「デッドマウント・デスプレイ」AnimeJapanスペシャルステージ』,会場: 東京ビッグサイト(東京国際展示場)
2023-03-25 (土),「AnimeJapan 2023」BS11ブース『山田くんとLv999の恋をする』,会場: 東京ビッグサイト(東京国際展示場)
2023-03-25 (土),「AnimeJapan 2023」AJステージ『TVアニメ「山田くんとLv999の恋をする」～放送直前オフ会～』,会場: 東京ビッグサイト(東京国際展示場)
2023-02-19 (日),いのりまち町民集会2023 夜公演,会場: 両国国技館
2023-02-19 (日),いのりまち町民集会2023 昼公演,会場: 両国国技館
2023-02-04 (土),日本列島生きもの超伝説劇場版ダーウィンが来た！公開記念舞台挨拶 本編上映終了後舞台挨拶,会場: ユナイテッド・シネマ アクアシティお台場
2023-02-04 (土),日本列島生きもの超伝説劇場版ダーウィンが来た！公開記念舞台挨拶 本編上映開始前舞台挨拶,会場: ユナイテッド・シネマ アクアシティお台場
2023-01-07 (土),TVアニメ『政宗くんのリベンジR』第1話先行上映会＆トークショー 1回目,会場: ユナイテッド・シネマ豊洲
2023-01-07 (土),TVアニメ『政宗くんのリベンジR』第1話先行上映会＆トークショー 2回目,会場: ユナイテッド・シネマ豊洲
2022-12-18 (日),Tokyo 7th シスターズ 6+7+8th Anniversary Live Along the way DAY3,会場: ぴあアリーナMM
2022-12-04 (日),「劇場版 ソードアート・オンライン -プログレッシブ- 冥き夕闇のスケルツォ」Dolby Cinema ヒロイン舞台挨拶 新宿バルト９ 12:55の回上映後,会場: 新宿バルト9
2022-12-04 (日),「劇場版 ソードアート・オンライン -プログレッシブ- 冥き夕闇のスケルツォ」Dolby Cinema ヒロイン舞台挨拶 新宿バルト９ 15:50の回上映前,会場: 新宿バルト9
2022-11-20 (日),SYMPHOGEAR LIVE 2020→2022 supported by SANKYO,会場: ベルーナドーム(西武ドーム)
2022-11-06 (日),【出演者変更】アニメ10周年記念メモリアルイベント「ソードアート・オンライン -フルダイブ-」,会場: 東京ガーデンシアター
2022-10-30 (日),「ヒロインたるもの！～嫌われヒロインと内緒のお仕事～」 スペシャルサニーパーティー 昼の部公演,会場: 幕張メッセ イベントホール
2022-10-30 (日),「ヒロインたるもの！～嫌われヒロインと内緒のお仕事～」 スペシャルサニーパーティー 夜の部公演,会場: 幕張メッセ イベントホール
2022-10-08 (土),【振替公演】Inori Minase LIVE TOUR 2022 glow 兵庫公演,会場: 神戸国際会館こくさいホール
2022-10-01 (土),Inori Minase LIVE TOUR 2022 glow 神奈川公演,会場: 横浜アリーナ
2022-09-24 (土),Inori Minase LIVE TOUR 2022 glow 福岡公演,会場: 福岡サンパレス ホテル&ホール
2022-09-17 (土),Inori Minase LIVE TOUR 2022 glow 宮城公演,会場: 仙台サンプラザホール
2022-09-10 (土),Inori Minase LIVE TOUR 2022 glow 愛知公演,会場: 名古屋国際会議場 センチュリーホール
2022-07-09 (土),TVアニメ『死神坊ちゃんと黒メイド』スペシャルイベント 昼の部,会場: 習志野文化ホール
2022-07-09 (土),TVアニメ『死神坊ちゃんと黒メイド』スペシャルイベント 夜の部,会場: 習志野文化ホール
2022-06-19 (日),「劇場版 異世界かるてっと ～あなざーわーるど～」公開2週目舞台挨拶  6/19 14:20の回上映前,会場: EJアニメシアター新宿(旧 角川シネマ新宿)(閉館)
2022-06-19 (日),「劇場版 異世界かるてっと ～あなざーわーるど～」公開2週目舞台挨拶  6/19 9:15の回上映後,会場: MOVIX亀有
2022-06-19 (日),「劇場版 異世界かるてっと ～あなざーわーるど～」公開2週目舞台挨拶  6/19 12:20の回上映前,会場: MOVIX亀有
2022-06-05 (日),TVアニメ「ヴァニタスの手記」スペシャルイベント,会場: よこすか芸術劇場(横須賀芸術劇場 大劇場)
2022-05-22 (日),『映画「五等分の花嫁」』公開記念舞台挨拶　9:00上映回,会場: 新宿バルト9
2022-05-22 (日),『映画「五等分の花嫁」』公開記念舞台挨拶 12:30上映回,会場: 新宿バルト9
2022-05-22 (日),『映画「五等分の花嫁」』公開記念舞台挨拶 10:55上映回,会場: 新宿バルト9
2022-04-02 (土),TVアニメ「乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…Ｘ」スペシャルイベント 春のカタリナ祭(まつり)～カタリナ大好き女子会～ 昼公演,会場: Zepp Haneda (TOKYO)
2022-04-02 (土),TVアニメ「乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…Ｘ」スペシャルイベント 春のカタリナ祭(まつり)～カタリナ大好き女子会～ 夜公演,会場: Zepp Haneda (TOKYO)
2022-03-26 (土),AnimeJapan 2022 ｢TVアニメ『陰の実力者になりたくて！』　スペシャルステージ｣,会場: 東京ビッグサイト(東京国際展示場)
2022-02-26 (土),【振替公演】Rabbit House Tea Party 2022　昼の部,会場: パシフィコ横浜  国立大ホール
2022-02-26 (土),【振替公演】Rabbit House Tea Party 2022　夜の部,会場: パシフィコ横浜  国立大ホール
2021-12-05 (日),『いのりまち町民集会2021-おかわり-』 夜の部,会場: パシフィコ横浜  国立大ホール
2021-12-05 (日),『いのりまち町民集会2021-おかわり-』 昼の部,会場: パシフィコ横浜  国立大ホール
2021-11-13 (土),「劇場版 ソードアート・オンライン －プログレッシブ－ 星なき夜のアリア」大ヒット御礼舞台挨拶,会場: 新宿バルト9
2021-10-30 (土),ソードアート・オンライン -プログレッシブ- 星なき夜のアリア 公開初日舞台挨拶  新宿バルト9 10:00の回上映後,会場: 新宿バルト9
2021-10-30 (土),ソードアート・オンライン -プログレッシブ- 星なき夜のアリア 公開初日舞台挨拶  新宿バルト9 12：45の回上映前,会場: 新宿バルト9
2021-10-30 (土),ソードアート・オンライン -プログレッシブ- 星なき夜のアリア 公開初日舞台挨拶  ユナイテッド・シネマ豊洲 14：00の回上映後,会場: ユナイテッド・シネマ豊洲
2021-10-30 (土),ソードアート・オンライン -プログレッシブ- 星なき夜のアリア 公開初日舞台挨拶  ユナイテッド・シネマ豊洲 16：45の回上映前,会場: ユナイテッド・シネマ豊洲
2021-10-17 (日),Inori Minase LIVE TOUR 2021 HELLO HORIZON 神奈川公演,会場: 横浜アリーナ
2021-10-09 (土),Inori Minase LIVE TOUR 2021 HELLO HORIZON 宮城公演,会場: 仙台サンプラザホール
2021-10-03 (日),Inori Minase LIVE TOUR 2021 HELLO HORIZON 福岡公演,会場: 福岡サンパレス ホテル&ホール
2021-09-25 (土),Inori Minase LIVE TOUR 2021 HELLO HORIZON 愛知公演,会場: 名古屋国際会議場 センチュリーホール
2021-09-18 (土),Inori Minase LIVE TOUR 2021 HELLO HORIZON 大阪公演,会場: オリックス劇場
2021-06-27 (日),魔王城でおやすみ　イベント　昼の部,会場: 日本教育会館 一ツ橋ホール
2021-06-27 (日),魔王城でおやすみ　イベント　夜の部,会場: 日本教育会館 一ツ橋ホール
2021-06-20 (日),【時間変更】『Re:ゼロから始める異世界生活』2nd season 騎士叙勲式 UTAGE 夜公演,会場: 練馬文化センター 大ホール(こぶしホール)
2021-06-20 (日),【時間変更】『Re:ゼロから始める異世界生活』2nd season 騎士叙勲式 UTAGE 昼公演,会場: 練馬文化センター 大ホール(こぶしホール)
2021-06-12 (土),『驚き！海の生きもの超伝説　劇場版ダーウィンが来た！ 』公開記念舞台挨拶 9：00回,会場: ユナイテッド・シネマ豊洲
2021-06-12 (土),『驚き！海の生きもの超伝説　劇場版ダーウィンが来た！ 』公開記念舞台挨拶 11：40回,会場: ユナイテッド・シネマ豊洲
2021-04-18 (日),「五等分の花嫁∬ SPECIAL EVENT 2021 in 中野サンプラザ」 夜の部（【振替公演】五等分の花嫁イベント 夜の部）,会場: 中野サンプラザホール(閉館)
2021-04-18 (日),「五等分の花嫁∬ SPECIAL EVENT 2021 in 中野サンプラザ」 昼の部（【振替公演】五等分の花嫁イベント 昼の部）,会場: 中野サンプラザホール(閉館)
2020-12-20 (日),TVアニメ「五等分の花嫁∬」先行上映会,会場: 新宿バルト9
2020-02-23 (日),アニメ「青春ブタ野郎」スペシャルイベント ～青春ブタ野郎はスノーデイズの夢を見ない～　夜公演,会場: 茅ヶ崎市民文化会館 大ホール
2020-02-23 (日),アニメ「青春ブタ野郎」スペシャルイベント ～青春ブタ野郎はスノーデイズの夢を見ない～　昼公演,会場: 茅ヶ崎市民文化会館 大ホール
2020-02-08 (土),TVアニメ「ロード・エルメロイⅡ世の事件簿 ‐魔眼蒐集列車 Grace note‐」スペシャルイベント,会場: さいたま市文化センター
2020-01-19 (日),劇場版「メイドインアビス 深き魂の黎明」劇場公開記念！ 舞台挨拶 川崎チネチッタ,会場: 川崎チネチッタ(CINECITTA')
2020-01-19 (日),劇場版「メイドインアビス 深き魂の黎明」劇場公開記念！ 舞台挨拶 TOHOシネマズ川崎,会場: TOHOシネマズ川崎
2020-01-19 (日),劇場版「メイドインアビス 深き魂の黎明」劇場公開記念！ 舞台挨拶 横浜ブルク13,会場: 横浜ブルク13
2020-01-18 (土),劇場版「メイドインアビス 深き魂の黎明」劇場公開記念！ 舞台挨拶 EJアニメシアター新宿 10:00の回,会場: EJアニメシアター新宿(旧 角川シネマ新宿)(閉館)
2020-01-18 (土),劇場版「メイドインアビス 深き魂の黎明」劇場公開記念！ 舞台挨拶 EJアニメシアター新宿 13:10の回,会場: EJアニメシアター新宿(旧 角川シネマ新宿)(閉館)
2020-01-18 (土),劇場版「メイドインアビス 深き魂の黎明」劇場公開記念！ 舞台挨拶 グランドシネマサンシャイン 15:00の回,会場: グランドシネマサンシャイン池袋
2020-01-18 (土),劇場版「メイドインアビス 深き魂の黎明」劇場公開記念！ 舞台挨拶 グランドシネマサンシャイン 18:10の回,会場: グランドシネマサンシャイン池袋
2019-12-26 (木),フジテレビ『オダイバ！！超次元音楽祭』観覧 収録日程A,会場: フジテレビ湾岸スタジオ
2019-12-14 (土),ご注文はうさぎですか？？SFYスペシャルトークイベント〜Talk For You〜 東京 第一部,会場: TKPガーデンシティ御茶ノ水
2019-12-14 (土),ご注文はうさぎですか？？SFYスペシャルトークイベント〜Talk For You〜 東京 第二部,会場: TKPガーデンシティ御茶ノ水
2019-12-08 (日),『いのりまち町民集会2019』 東京公演 夜の部,会場: 東京国際フォーラム ホールA
2019-12-08 (日),『いのりまち町民集会2019』 東京公演 昼の部,会場: 東京国際フォーラム ホールA
2019-11-30 (土),『いのりまち町民集会2019』 兵庫公演 夜の部,会場: あましんアルカイックホール(尼崎市総合文化センター大ホール)
2019-11-30 (土),『いのりまち町民集会2019』 兵庫公演 昼の部,会場: あましんアルカイックホール(尼崎市総合文化センター大ホール)
2019-11-17 (日),TVアニメ「ソマリと森の神様」プレミアム先行上映会 2回目,会場: ユナイテッド・シネマ アクアシティお台場
2019-11-17 (日),TVアニメ「ソマリと森の神様」プレミアム先行上映会 1回目,会場: ユナイテッド・シネマ アクアシティお台場
2019-11-02 (土),Re:ゼロから始める異世界生活 Memory Snow／舞台挨拶付き特別上映,会場: グランドシネマサンシャイン池袋
2019-09-08 (日),「ご注文はうさぎですか??～Sing For You～」 プレミア先行上映イベント “歌姫爆誕”,会場: 新宿バルト9
2019-08-31 (土),Animelo Summer Live 2019 -STORY- 2日目,会場: さいたまスーパーアリーナ
2019-07-21 (日),『Re:ゼロから始める異世界生活 Memory Snow』スペシャルイベント チキチキ雪まつり～延長戦～ 夜公演,会場: J:COMホール八王子(八王子市民会館)
2019-07-21 (日),『Re:ゼロから始める異世界生活 Memory Snow』スペシャルイベント チキチキ雪まつり～延長戦～ 昼公演,会場: J:COMホール八王子(八王子市民会館)
2019-07-13 (土),『Club AT-X WSB ～ワールド シークレット ベース～』番組公開収録,会場: 秋葉原UDX4F UDXシアター
2019-07-01 (月),ＴＶアニメ「彼方のアストラ」第1話先行上映イベント,会場: EJアニメシアター新宿(旧 角川シネマ新宿)(閉館)
2019-06-29 (土),animelo mix presents Inori Minase LIVE TOUR 2019 Catch the Rainbow！ 東京公演 2日目,会場: 日本武道館
2019-06-28 (金),animelo mix presents Inori Minase LIVE TOUR 2019 Catch the Rainbow！ 東京公演 1日目,会場: 日本武道館
2019-06-27 (木),TVアニメ「ロード・エルメロイⅡ世の事件簿 ‐魔眼蒐集列車 Grace note‐」第1話＆第2話先行上映イベント,会場: 新宿バルト9
2019-06-23 (日),animelo mix presents Inori Minase LIVE TOUR 2019 Catch the Rainbow！ 愛知公演,会場: Niterra日本特殊陶業市民会館 フォレストホール
2019-06-16 (日),animelo mix presents Inori Minase LIVE TOUR 2019 Catch the Rainbow！ 大阪公演,会場: グランキューブ大阪(大阪府立国際会議場)
2019-06-15 (土),「青春ブタ野郎はゆめみる少女の夢を見ない」 公開記念舞台挨拶　豊洲,会場: ユナイテッド・シネマ豊洲
2019-06-15 (土),「青春ブタ野郎はゆめみる少女の夢を見ない」 公開記念舞台挨拶　新宿2回目,会場: 新宿バルト9
2019-06-15 (土),「青春ブタ野郎はゆめみる少女の夢を見ない」 公開記念舞台挨拶　新宿1回目,会場: 新宿バルト9
2019-06-15 (土),「青春ブタ野郎はゆめみる少女の夢を見ない」 公開記念舞台挨拶 湘南,会場: 109シネマズ湘南
2019-06-14 (金),『劇場版　誰ガ為のアルケミスト』初日舞台挨拶,会場: TOHOシネマズ新宿
2019-06-08 (土),えんどろ～！集まろ～！スペシャルクエスト～！,会場: 中野サンプラザホール(閉館)
2019-06-02 (日),ホビージャパン半世紀祭り えんどろ〜！ふりかえろ〜！ろ〜る“スペシャル”！ 〜勇者パーティーのトークステージ〜,会場: 秋葉原UDX2F アキバ・スクエア(AKIBA SQUARE)
2019-05-25 (土),「青春ブタ野郎はゆめみる少女の夢を見ない」 完成披露上映会 17時の回,会場: 新宿バルト9
2019-05-25 (土),「青春ブタ野郎はゆめみる少女の夢を見ない」 完成披露上映会 19時30分の回,会場: 新宿バルト9
2019-05-24 (金),劇場版　誰ガ為のアルケミスト／完成披露プレミア上映会,会場: TOHOシネマズ新宿
2019-05-05 (日),TVアニメ「五等分の花嫁」スペシャルイベント  夜の部,会場: 有楽町よみうりホール
2019-05-05 (日),TVアニメ「五等分の花嫁」スペシャルイベント  昼の部,会場: 有楽町よみうりホール
2019-03-23 (土),AnimeJapan 2019 1日目 【COBALT BLUEステージ】「青春ブタ野郎はゆめみる少女の夢を見ない」スペシャルステージ,会場: 東京ビッグサイト(東京国際展示場)
2019-03-23 (土),AnimeJapan 2019 1日目 【OASIS GREENステージ】『ダンジョンに出会いを求めるのは間違っているだろうか』スペシャルステージ(仮),会場: 東京ビッグサイト(東京国際展示場)
2019-03-23 (土),AnimeJapan 2019 1日目 【OASIS GREENステージ】『Re:ゼロから始める異世界生活』スペシャルステージ,会場: 東京ビッグサイト(東京国際展示場)
2019-03-23 (土),AnimeJapan 2019 1日目 【ROSE REDステージ】「ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車 Grace note-」スペシャルステージ,会場: 東京ビッグサイト(東京国際展示場)
2019-03-02 (土),『劇場版ダンジョンに出会いを求めるのは間違っているだろうか ― オリオンの矢―』 ヒット御礼！舞台挨拶,会場: 新宿ピカデリー
2019-02-23 (土),メルクストーリア ５周年 スペシャルイベント 昼公演,会場: 舞浜アンフィシアター
2019-02-23 (土),メルクストーリア ５周年 スペシャルイベント 夜公演,会場: 舞浜アンフィシアター
2019-02-16 (土),『劇場版ダンジョンに出会いを求めるのは間違っているだろうか ― オリオンの矢―』 劇場舞台挨拶 新宿2回目,会場: 新宿ピカデリー
2019-02-16 (土),『劇場版ダンジョンに出会いを求めるのは間違っているだろうか ― オリオンの矢―』 劇場舞台挨拶 新宿1回目,会場: 新宿ピカデリー
2019-02-16 (土),『劇場版ダンジョンに出会いを求めるのは間違っているだろうか ― オリオンの矢―』 劇場舞台挨拶 埼玉,会場: MOVIXさいたま
2019-02-09 (土),青春ブタ野郎はパーティーガールの夢を見ない 夜公演,会場: 三郷市文化会館
2019-02-09 (土),青春ブタ野郎はパーティーガールの夢を見ない 昼公演,会場: 三郷市文化会館
2019-01-26 (土),リスアニ！LIVE 2019 SATURDAY STAGE,会場: 日本武道館
2019-01-19 (土),信長の忍び プレミア上映会,会場: イオンシネマシアタス調布
2019-01-11 (金),TVアニメ「えんどろ～！」第1話先行上映会,会場: TOHOシネマズ新宿
2018-12-09 (日),『いのりまち町民集会2018』 夜の部,会場: 東京国際フォーラム ホールA
2018-12-09 (日),『いのりまち町民集会2018』 昼の部,会場: 東京国際フォーラム ホールA
2018-11-25 (日),NHK アニソン特番「アニソン！プレミアム！」 観覧イベント,会場: 日本工学院専門学校 片柳アリーナ
2018-11-17 (土),ANIMAX MUSIX 2018 YOKOHAMA supported by ひかりTV,会場: 横浜アリーナ
2018-10-25 (木),ゲシュタルト・オーディン 発表会,会場: !_東京都内某所
2018-10-20 (土),Tokyo 7th シスターズ 4th Anniversary Live -FES!! AND YOUR LIGHT- in Makuhari Messe 1日目,会場: 幕張メッセ イベントホール
2018-10-14 (日),『多田くんは恋をしない』SPイベント 昼公演,会場: 和光市民文化センター(サンアゼリア) 大ホール
2018-10-14 (日),『多田くんは恋をしない』SPイベント 夜公演,会場: 和光市民文化センター(サンアゼリア) 大ホール
2018-10-06 (土),Re:ゼロから始める異世界生活 Memory Snow 初日舞台挨拶 池袋1回目,会場: シネマサンシャイン池袋(閉館)
2018-10-06 (土),Re:ゼロから始める異世界生活 Memory Snow 初日舞台挨拶 池袋2回目,会場: シネマサンシャイン池袋(閉館)
2018-10-06 (土),Re:ゼロから始める異世界生活 Memory Snow 初日舞台挨拶 新宿2回目,会場: EJアニメシアター新宿(旧 角川シネマ新宿)(閉館)
2018-10-06 (土),Re:ゼロから始める異世界生活 Memory Snow 初日舞台挨拶 新宿1回目,会場: EJアニメシアター新宿(旧 角川シネマ新宿)(閉館)
2018-09-30 (日),KING SUPER LIVE 2018 in 台湾,会場: 國立體育大學體育館(林口體育館)
2018-09-28 (金),劇場版「フリクリ　プログレ」初日舞台挨拶,会場: TOHOシネマズ日比谷 スクリーン12 (旧 TOHOシネマズスカラ座)
2018-09-24 (月),KING SUPER LIVE 2018,会場: 東京ドーム
2018-09-23 (日),Re:ゼロから始める異世界生活 Memory Snow  劇場上映直前イベント 昼公演,会場: 狛江エコルマホール(狛江市民ホール)
2018-09-23 (日),Re:ゼロから始める異世界生活 Memory Snow  劇場上映直前イベント 夜公演,会場: 狛江エコルマホール(狛江市民ホール)
2018-09-21 (金),「信長の忍び～姉川・石山篇～」最終話先行上映会,会場: イオンシネマシアタス調布
2018-09-16 (日),「ご注文はうさぎですか？？ ～Dear My Sister～」スペシャルイベント DMS Tea Party 夜の部,会場: J:COMホール八王子(八王子市民会館)
2018-09-16 (日),「ご注文はうさぎですか？？ ～Dear My Sister～」スペシャルイベント DMS Tea Party 昼の部,会場: J:COMホール八王子(八王子市民会館)
2018-08-27 (月),劇場版「フリクリ　プログレ」完成披露上映会,会場: TOHOシネマズ日比谷 スクリーン12 (旧 TOHOシネマズスカラ座)
2018-08-25 (土),Animelo Summer Live 2018 “OK!” 2日目,会場: さいたまスーパーアリーナ
2018-08-12 (日),宇宙よりも遠い場所 南極よりも楽しいフェスティバル,会場: さいたま市文化センター
2018-07-07 (土),水瀬いのりの”七夕祈り祭”,会場: 藤沢市湘南台文化センター 市民シアター
2018-07-01 (日),animelo mix presents Inori Minase LIVE TOUR 2018 BLUE COMPASS 千葉公演,会場: 幕張メッセ イベントホール
2018-06-24 (日),animelo mix presents Inori Minase LIVE TOUR 2018 BLUE COMPASS 兵庫公演,会場: 神戸国際会館こくさいホール
2018-06-17 (日),animelo mix presents Inori Minase LIVE TOUR 2018 BLUE COMPASS 石川公演,会場: 本多の森北電ホール(北陸電力会館 本多の森ホール)
2018-06-09 (土),animelo mix presents Inori Minase LIVE TOUR 2018 BLUE COMPASS 愛知公演,会場: アイプラザ豊橋
2018-04-27 (金),TVアニメ「信長の忍び～伊勢・金ヶ崎篇～」全26話＋TVアニメ「信長の忍び～姉川・石山篇～」最新話まで（1話分先行上映予定）＋キャストによるトークショー,会場: イオンシネマ板橋
2018-04-21 (土),ANIMAX MUSIX 2018 Guangzhou,会場: 广州体育馆(広州体育館)
2018-04-07 (土),「ラジリスク新章〜甲賀・伊賀忍放送〜」公開録音＆第14話先行上映会,会場: 山野ホール
2018-03-31 (土),「多田くんは恋をしない」先行上映イベント,会場: ユナイテッド・シネマ アクアシティお台場
2018-03-25 (日),AnimeJapan 2018 2日目【RED-2】「多田くんは恋をしない」スペシャルステージ,会場: 東京ビッグサイト(東京国際展示場)
2018-03-25 (日),AnimeJapan 2018 2日目 NBCユニバーサルブース　ご注文はラジオですか？？ ～チマメ隊のポポロンラジオ～」スペシャル出張版,会場: 東京ビッグサイト(東京国際展示場)
2018-03-25 (日),AnimeJapan 2018 2日目 トムスブース 信長の忍びステージイベント,会場: 東京ビッグサイト(東京国際展示場)
2018-03-25 (日),AnimeJapan 2018 2日目 トムス･エンタテインメントブース 「ルパン三世 PART5」ステージイベント,会場: 東京ビッグサイト(東京国際展示場)
2018-03-18 (日),干物妹！うまるちゃんR スペシャルイベント「宴・THE REVIVAL～導かれし者たち～」,会場: 有楽町よみうりホール
2018-02-18 (日),ワンダーフェスティバル2018[冬] GA文庫2018発表ステージ,会場: 幕張メッセ 国際展示場ホール
2018-02-17 (土),TVアニメ「徒然チルドレン」バレンタイン♡大反省会,会場: NEW PIER HALL(ニューピアホール)
2018-02-03 (土),NBCUniversal ANIME×MUSIC FESTIVAL ～25th ANNIVERSARY～,会場: さいたまスーパーアリーナ
2018-01-26 (金),リスアニ！LIVE 2018 FRIDAY STAGE,会場: 日本武道館
2018-01-20 (土),キラキラ☆プリキュアアラモード スペシャルイベント,会場: 旧ポニーキャニオン1Fイベントスペース(閉館)
2017-12-29 (金),TVアニメ「バジリスク ～桜花忍法帖～」先行上映会,会場: 新宿バルト9
2017-12-27 (水),TVアニメ『宇宙よりも遠い場所』先行上映会,会場: シネマサンシャイン池袋(閉館)
2017-12-02 (土),animelo mix presents 水瀬いのり 1st LIVE Ready Steady Go!,会場: 東京国際フォーラム ホールA
2017-11-26 (日),『アニメガタリズ』ファン感謝イベント「阿佐ヶ谷家クリスマスパーティーへようこそ☆」①,会場: 豊洲PIT
2017-11-26 (日),『アニメガタリズ』ファン感謝イベント「阿佐ヶ谷家クリスマスパーティーへようこそ☆」②,会場: 豊洲PIT
2017-11-18 (土),チマメ隊 ワンマンライブ　chimame march in OSAKA,会場: Zepp Namba (OSAKA)
2017-11-12 (日),政宗くんのイベント～食欲の愛姫～　昼の部,会場: [初代]ニッショーホール(旧日本消防会館)(閉館)
2017-11-12 (日),政宗くんのイベント～食欲の愛姫～　夜の部,会場: [初代]ニッショーホール(旧日本消防会館)(閉館)
